ORDER_ID,household_key,DAY,STORE_ID,WEEK_NO,TransTime
27756740264,853,65,367,10,"T1759"
27773885601,853,67,367,10,"T0852"
27798105540,853,69,367,11,"T1733"
27840923945,853,72,367,11,"T0751"
27852900164,853,73,367,11,"T1723"
27864950031,853,74,367,11,"T1554"
27870804664,853,75,367,11,"T1623"
27888709763,853,76,367,12,"T1745"
27900809427,853,77,367,12,"T1724"
27924764621,853,79,367,12,"T1727"
27949867779,853,81,367,12,"T1244"
27949871118,853,81,367,12,"T1725"
27950454819,853,82,367,12,"T1622"
27950454900,853,82,367,12,"T1628"
27972424300,853,83,367,13,"T1659"
27985204676,853,84,367,13,"T1734"
27997129708,853,85,367,13,"T1729"
28023365712,853,87,367,13,"T1743"
28023945193,853,88,367,13,"T1604"
28024585829,853,89,367,13,"T1706"
28068979857,853,91,367,14,"T1736"
28081004706,853,92,367,14,"T1712"
28081004887,853,92,367,14,"T1727"
28092954918,853,93,367,14,"T1723"
28106050107,853,94,367,14,"T1655"
28110539287,853,95,367,14,"T1445"
28140904294,853,96,367,14,"T1509"
28153835421,853,97,367,15,"T1736"
28154389780,853,98,367,15,"T1731"
28167414829,853,99,367,15,"T1729"
28179454955,853,100,367,15,"T1717"
28235148360,853,101,367,15,"T1359"
28242890553,853,104,367,16,"T1712"
28242890641,853,104,367,16,"T1720"
28243435005,853,105,367,16,"T1731"
28257514800,853,106,367,16,"T1734"
28270724843,853,107,367,16,"T1746"
28282285365,853,108,367,16,"T1747"
28294326964,853,109,367,16,"T1139"
28294328669,853,109,367,16,"T1410"
28318019672,853,111,367,17,"T1723"
28331250026,853,112,367,17,"T1737"
28331250131,853,112,367,17,"T1746"
28344349502,853,113,367,17,"T1728"
28344889508,853,114,367,17,"T1725"
28364234906,853,115,367,17,"T1721"
28379129721,853,116,367,17,"T1559"
28391316297,853,117,367,17,"T1108"
28391318741,853,117,367,17,"T1519"
28405614938,853,118,367,18,"T1751"
28417655193,853,119,367,18,"T1841"
28511419596,853,120,367,18,"T1745"
28511974397,853,121,367,18,"T1719"
28511974487,853,121,367,18,"T1726"
28536575034,853,122,367,18,"T1725"
28537151683,853,123,367,18,"T1110"
28537743660,853,124,367,18,"T1449"
28571089287,853,125,367,19,"T1724"
28571639339,853,126,367,19,"T1746"
28600759349,853,127,367,19,"T1733"
28601311673,853,128,367,19,"T2149"
28619040277,853,129,367,19,"T0727"
28638729924,853,131,367,19,"T1633"
28647960654,853,132,367,20,"T0920"
28647964687,853,132,367,20,"T1729"
28674944716,853,133,367,20,"T1743"
28675509368,853,134,367,20,"T1735"
28697854543,853,135,367,20,"T1749"
28732865152,853,136,367,20,"T1737"
28744357321,853,137,367,20,"T1235"
28757348259,853,138,367,20,"T1425"
28771246858,853,139,367,21,"T1222"
28788364363,853,141,367,21,"T1750"
28788930416,853,142,367,21,"T0800"
28840534311,853,145,367,21,"T1554"
28853371909,853,146,367,22,"T2157"
28918960815,853,149,367,22,"T1948"
28919540147,853,150,367,22,"T1737"
28940832449,853,151,367,22,"T1234"
28940832519,853,151,367,22,"T1240"
28941412209,853,152,367,22,"T1236"
28941412682,853,152,367,22,"T1316"
28970344386,853,153,367,23,"T1718"
29019039293,853,154,367,23,"T1736"
29034998064,853,157,367,23,"T1433"
29035568970,853,158,367,23,"T1452"
29094397473,853,159,367,23,"T1309"
29094995812,853,160,367,24,"T1841"
29114574318,853,161,367,24,"T1739"
29141565257,853,163,367,24,"T0715"
29141569617,853,163,367,24,"T1714"
29157107693,853,164,367,24,"T1303"
29157107809,853,164,367,24,"T1314"
29170417784,853,165,367,24,"T2034"
29182861752,853,166,367,24,"T1859"
29194582733,853,167,367,25,"T1326"
29221419180,853,168,367,25,"T1706"
29238324642,853,169,367,25,"T1737"
29250684346,853,170,367,25,"T1712"
29272994866,853,171,367,25,"T1714"
29276489710,853,172,367,25,"T1522"
29277083963,853,173,367,25,"T1457"
29277084068,853,173,367,25,"T1507"
29299759605,853,174,367,26,"T1741"
29311594396,853,175,367,26,"T1753"
29329664532,853,176,367,26,"T1742"
29352559500,853,178,367,26,"T1640"
29353127964,853,179,367,26,"T1305"
29353129866,853,179,367,26,"T1545"
29391774677,853,181,367,27,"T1726"
29435789240,853,182,367,27,"T1700"
29470839734,853,184,367,27,"T1713"
29483969780,853,183,367,27,"T1748"
29484545423,853,185,367,27,"T1728"
29507541221,853,187,367,27,"T1055"
29507542666,853,187,367,27,"T1311"
29590272054,853,190,367,28,"T1245"
29602212622,853,191,367,28,"T1413"
29671295236,853,192,367,28,"T1659"
29671872690,853,193,367,28,"T1244"
29702040044,853,195,367,29,"T1729"
29712424787,853,196,367,29,"T1721"
29738299714,853,197,367,29,"T1732"
29787465771,853,199,367,29,"T1741"
29807570527,853,200,367,29,"T0844"
30031723169,853,201,367,29,"T1335"
30032315152,853,202,367,30,"T1730"
30032899534,853,203,367,30,"T1731"
30033454294,853,204,367,30,"T1654"
30034034553,853,205,367,30,"T1729"
30034605801,853,206,367,30,"T1739"
30035189666,853,207,367,30,"T1457"
30035844716,853,208,367,30,"T1552"
30036449710,853,209,367,31,"T1724"
30037038938,853,210,367,31,"T1633"
30038719873,853,212,367,31,"T1723"
30053670581,853,213,367,31,"T1711"
30129739398,853,219,367,32,"T1701"
30173942922,853,221,367,32,"T1259"
30202116699,853,225,367,33,"T2036"
30216964498,853,226,367,33,"T1710"
30240880142,853,228,367,33,"T1601"
30503398991,853,229,367,33,"T1448"
30515049776,853,230,367,34,"T1723"
30530419633,853,231,367,34,"T1729"
30532118106,853,234,367,34,"T1340"
30578477313,853,235,367,34,"T1159"
30578477411,853,235,367,34,"T1207"
30578479428,853,235,367,34,"T1502"
30579058100,853,236,367,34,"T1348"
30579644898,853,237,367,35,"T1710"
30580219068,853,238,367,35,"T1632"
30626909427,853,240,367,35,"T1720"
30627480623,853,241,367,35,"T1739"
30628066967,853,242,367,35,"T1128"
30662232078,853,243,367,35,"T1143"
30673485158,853,244,367,36,"T1717"
30686336055,853,245,367,36,"T1758"
30757004472,853,250,367,36,"T1626"
30768454442,853,251,367,37,"T1704"
30780409346,853,252,367,37,"T1713"
30792829499,853,253,367,37,"T1710"
30792829587,853,253,367,37,"T1718"
30818574853,853,254,367,37,"T1742"
30822085863,853,255,367,37,"T1822"
30845378036,853,257,367,37,"T1337"
30871344176,853,259,367,38,"T1717"
30883336989,853,260,367,38,"T2035"
30907279945,853,262,367,38,"T1824"
30930095831,853,263,367,38,"T1720"
30954523075,853,265,367,39,"T1456"
30971574696,853,266,367,39,"T1724"
30983624569,853,267,367,39,"T1659"
30995660346,853,268,367,39,"T0801"
30995663680,853,268,367,39,"T1554"
31007650139,853,269,367,39,"T1708"
31019797160,853,270,367,39,"T1157"
31019798718,853,270,367,39,"T1400"
31032348248,853,271,367,39,"T1355"
31046229165,853,272,367,40,"T1620"
31058354732,853,273,367,40,"T1659"
31070429899,853,274,367,40,"T1625"
31084955324,853,275,367,40,"T0745"
31084959844,853,275,367,40,"T1554"
31097329865,853,276,367,40,"T1431"
31198482626,853,285,367,41,"T1503"
31225405940,853,286,367,42,"T1043"
31242416693,853,287,367,42,"T1231"
31254424159,853,288,367,42,"T1702"
31268736698,853,289,367,42,"T1300"
31280729436,853,290,367,42,"T1711"
31356419230,853,296,367,43,"T1708"
31389900138,853,297,367,43,"T1715"
31412468915,853,299,367,43,"T1521"
31423975325,853,300,367,44,"T0800"
31423980033,853,300,367,44,"T1730"
31467619000,853,301,367,44,"T1717"
31490402012,853,303,367,44,"T1309"
31502341701,853,304,367,44,"T1214"
31527665990,853,306,367,44,"T1746"
31540775181,853,305,367,44,"T1633"
31541376168,853,307,367,45,"T1122"
31553429363,853,308,367,45,"T1745"
31623494120,853,309,367,45,"T1714"
31624054258,853,310,367,45,"T1722"
31624619385,853,311,367,45,"T1706"
31625171198,853,312,367,45,"T1049"
31672262384,853,313,367,45,"T1313"
31699118865,853,315,367,46,"T1653"
31711054006,853,316,367,46,"T1646"
31723009101,853,317,367,46,"T1706"
31735105062,853,318,367,46,"T1706"
31747610279,853,319,367,46,"T0759"
31769021235,853,320,367,46,"T1104"
31788949121,853,322,367,47,"T1723"
31788949131,853,322,367,47,"T1724"
31803664014,853,323,367,47,"T1704"
31818489344,853,324,367,47,"T1736"
31832741825,853,325,367,47,"T1202"
31832741869,853,325,367,47,"T1208"
31832745094,853,325,367,47,"T1655"
31833947357,853,327,367,47,"T1310"
31868849989,853,328,367,48,"T1732"
31883445255,853,329,367,48,"T1707"
31895548825,853,330,367,48,"T1715"
31908139134,853,331,367,48,"T1717"
31920099614,853,332,367,48,"T1706"
31932090941,853,333,367,48,"T1042"
31932094580,853,333,367,48,"T1606"
31956129354,853,335,367,49,"T1656"
31969128882,853,336,367,49,"T1715"
31981104102,853,337,367,49,"T1719"
31993048494,853,338,367,49,"T1631"
32006038134,853,339,367,49,"T1429"
32006606491,853,340,367,49,"T1106"
32006606702,853,340,367,49,"T1127"
32006609232,853,340,367,49,"T1504"
32008325066,853,341,367,49,"T1649"
32040869365,853,342,367,50,"T1726"
32064823940,853,344,367,50,"T1701"
32074604224,853,345,367,50,"T1715"
32090424959,853,346,367,50,"T1722"
32125279209,853,349,367,51,"T1721"
32137339183,853,350,367,51,"T1714"
32149283848,853,351,367,51,"T1715"
32161264141,853,352,367,51,"T1655"
